Your Organization's Name,In which program did you participate?,To what extent did your experience meet your expectations for the program and/or course?,How useful was this experience for you or your organization?,How satisfied are you with the relationship with your consultant(s)?,Please describe how you intend to use or build upon the work done by your consultant(s) (if at all).,What did you and/or your organization learn from your participation in this program/course?,How would you rate the time commitment and resources required of you during this program/course?,What suggestions for improvement do you have for future iterations of this program or course?,Would you be open to participating in this program/course again in the future?,"If you answered ""Maybe"" or ""No"" to the previous question, please explain.",How effective was your consultant(s) in leading the project from start to finish?,How effective was your consultant(s) in communicating with you and/or your organization?,How effective was your consultant(s) in recommending clear and compelling solutions for your organization?,How effective was your consultant(s) in synthesizing and presenting information in an actionable and accessible manner to you and/or your organization?,What is one piece of advice that you would like to give to your consultant(s) to be more effective and impactful in the future?,"Are you willing for the program or the RGK Center to share highlights of your organization's project in marketing, evaluation, and recruitment materials in the future?",Is there anything else that you would like to share about your experience? (Optional)
Code2College,CONNECT,Equals expectations,Very useful,Very satisfied,Timothy was able to input our collected report card data into a database that was user-friendly. He also created pivot tables that included some initial data analysis. We will continue to comb through the data he inputted to use for our 2018-2019 Impact Report. ,We appreciate the consulting work and services of the students provided by the CONNECT program!,About right,I found it difficult for myself to try and check our project management tracker on top of a regular work schedule. I appreciate Timothy updating documents as he could.,Yes,,Very effective,Very effective,Moderately effective,Moderately effective,Timothy was a great communicator and followed up with questions professionally. I am looking forward to seeing where he ends up in the future!,Yes,Thanks for letting me be a part of this project!
Out Youth ,CONNECT,Exceeds expectations,Very useful,Very satisfied,"We have a wonderful start to our dashboard, as data from our clinical programs is now represented. Our programs and development department plan to build upon this work in the future. ",How helpful it can be to have an outside consultant with technical expertise devoted to a very important data project. ,About right,None,Yes,,Very effective,Very effective,Very effective,Very effective,"Communicated effectively, however, sometimes the timing was a little bit difficult (e.g. time sensitive requests on days we don't typically work). ",Yes,n/a
Upper Ninety,CONNECT,Exceeds expectations,Very useful,Very satisfied,We plan to participate in CONNECT in the coming semester with a new consultant in order to analyze the survey data that we collected through the work of our first CONNECT consultant. ,"It is important for both parties (org and consultant) to remain flexible in the work plan and deliverables, as things can easily and dramatically change. For example, we were unable to retrieve some of the data sets that we needed in order for our consultant to complete one of her deliverables. Luckily, she was very flexible and agreed to shift her focus to another (new) deliverable.

Given that no one on our small staff has a background in data, it was very helpful for our consultant to take more of a guiding role for us as we tried to make decisions about how to approach different problems.",About right,"I think the work plan/deliverable organization should be the responsibility of the consultant. The org should communicate what is needed, and any key milestones or deadline, and then should sign off of the work plans as they are developed by the consultant. ",Yes,,Very effective,Extremely effective,Very effective,Very effective,She was wonderful! ,Yes,
Foundation Communities,CONNECT,Exceeds expectations,Extremely useful,Extremely satisfied,We will use many of Meghan's ideas to improve not just pantry marketing and promotion but HI events and program promotion in general.,We have areas of our promotion and marketing strategy that can be improved but we are doing some things well!,About right,"Maybe more guidance/suggestions on how often to meet with the student and a few more reminders throughout the semester for us to remember to check in with each other. But saying that, Meghan was a great independent and driven intern, so we lucked out!",Yes,,Extremely effective,Very effective,Extremely effective,Extremely effective,Meghan did great work and gave us lots of good suggestions supported by evidence and data. She should feel confident in giving us feedback and suggestions for improvement.,Yes,
Fostering Hope Austin,CONNECT,Exceeds expectations,Extremely useful,Extremely satisfied,We were able to begin some measuring of our foster care babysitting program with our Connect student. We intend to build upon the survey results by improving our program impact in a way that allows babysitters to stay engaged for a longer period of time. ,"As a growing organization, we learned the importance of measuring the work we are already doing to be able to improve programs and see the impact we are having the community. ",About right,It would be nice for the student to know more specific responsibilities before beginning the project. ,Yes,,Moderately effective,Very effective,Moderately effective,Moderately effective,There should be some experience in the field or willingness to learn best practices or research trends in the field of the organization the consultant in helping. ,Yes,
AVANCE Austin,CONNECT,Exceeds expectations,Very useful,Very satisfied,"Juany created a great tool that we can definitely pilot in the near future. We're also in a great position to test the tool using data from previous years and be able to build on the tool depending on how that information looks. We envision using the tool to help our Home Educators guide the work that they do with parents during Home Visits and use the graphs and data for grant, reporting, and planning purposes. We're in a great position to continue the project with a new consultant and see how this tool works to strengthen our work. ",We learned that collaboration is essential for our non profit to have the necessary expertise help guide some of our work. ,About right,I think having a Coordinator understand the needs of the agency is essential to the program. Alyssa was so interested in learning about our agency and expectations from the beginning and it set up the collaboration for success. Communication between all of the people involved was key too. ,Yes,,Very effective,Very effective,Very effective,Very effective,Juany was wonderful. She too was interested in getting to know our agency's needs and did a great job setting clear expectations.,Yes,
Michael and Susan Dell Foundation,CONNECT,Equals expectations,Extremely useful,Moderately satisfied,"As discussed with Sarah, we will use this as an initial blueprint to streamline and organize the PelotonU data model",For projects that are this technical- I need to have more frequent check-ins and also define scope of deliverable better,Slightly too much,NA :),Yes,,Moderately effective,Moderately effective,Slightly effective,Slightly effective,Check-in more. Do more diligence. More attention to detail,Yes,
PelotonU,CONNECT,Equals expectations,Moderately useful,Very satisfied,The work Nathan did will help us as we dive into revising our business processes and overhauling our data infrastructure so we have a clear picture of what data we're currently collecting. ,"It helped confirm that there are data redundancies and illuminate where they are, which will save us a ton of time in the next phase. ",About right,"One day, I'd love to actually be able to have the time to run a project without needing to lean on Semonti so much :) ",Yes,,,,,,I defer to Semonti here ,Yes,
Foundation Communities,CONNECT,Exceeds expectations,Very useful,Very satisfied,We are beginning the process of reworking our Community Health Worker program and the work products completed will help us to formalize and refine the duties and processes going forward.,The program helped us to internalize and determine what we truly want to accomplish with the program and how we can affect change overall.,About right,None at this time.,Yes,,Very effective,Very effective,Very effective,Very effective,Nothing at this time,No,No.
Pionero Philanthropy,CONNECT,Far exceeds expectations,Extremely useful,Extremely satisfied,"One consultant helped in survey analysis and literature review to provide academic and statistical support for the organization's Theory of Change. This is the true foundation of the organization will we allow us to move forward in a more impact and effective manner. We hope to provide this support, or reasoning for doing what we do, on our future website to provide credibility to our organization! 

Our other consultant has helped with the creation of a Guatemalan development map, which will map out all nonprofits located in Guatemala based on theme, size, budget, partner status, etc. In the process, the consultant aided Pionero with internal organization and creation of clean datasets. This map will continue to be expanded upon in the Spring semester. We hope to use this a key tool for research and for philanthropic consulting. This is the first map of its kind in Guatemala and proves to be incredibly necessary. ",We learned a lot from both of our consultants this term. It has been incredibly helpful to get different lenses looking at our internal and external organizational material. They have allowed us to see gaps where they were previously unseen or allowed us to make materials more accessible to a larger audience. ,About right,Perhaps more emphasis on expectations for the task tracker. We have one consultant who was very keen to follow the task tracker and wanted our email correspondence updates and actions inserted into the task tracker and the other consultant who didn't not seem to utilize the task tracker. ,Yes,,Extremely effective,Extremely effective,Extremely effective,Extremely effective,We are very pleased with the effectivity and impact of our consultants. ,Yes,"We are so grateful for the opportunity and experience to participate in the Connect Program. We were paired with two exceptional consultants, and we are so excited to continue with the program into the Spring semester! Thank you! "
Pionero Philanthropy,CONNECT,Exceeds expectations,Extremely useful,Extremely satisfied,We will use the results and analysis written about our Theory of Change on our website and in our pitches to clients,That remote internships are valuable for both student and organization is organized correctly and with a good fit.,About right,none!,Yes,,Very effective,Very effective,Very effective,Very effective,Just to let us know if she is not 100% sure on anything. The student was very responsible and communicative.,Yes,Thanks so much for involving us in your program and taking a risk on a new organization you haven't worked with before! We hugely benefitted and I hope Janani did too!
Foundation Communities,CONNECT,Exceeds expectations,Very useful,Extremely satisfied,"This literature review is the first part of larger study looking at various barriers to housing and how they disproportionately affect POC and marginalized populations so that we, as a housing provider, can look for solutions to address equity with our residents and prospective residents.  ","For this part of the project, much of what we learned was what was expected regarding housing barriers and the higher incidence for marginalized populations. However we wanted this academic basis to help inform the next part of our project.",About right,"Everything worked really well, and we were very pleased with both the work completed and the individuals involved.",Yes,,Very effective,Very effective,Very effective,Very effective,Continue to provide the same level of service.,Yes,
Westcave Outdor Discovery Center,CONNECT,Equals expectations,Moderately useful,Moderately satisfied,We are updating our evaluation tools and planning to develop a structure that will assist us in using a consistent set of evaluation tools.,Our consultant suggested several adjustments to our evaluations. It was helpful to see what adjustments she was suggesting and her rationales for making the changes. ,Slightly too little,We feel that the program needs to add ongoing meetings between the organization and the consultant. We have also worked with the Graduate Fellows program at the McCombs School of Business which includes monthly meetings between the Fellows and the organization. Those meetings have a big impact on the depth the consultants were able to go on their assigned project.  ,Yes,,Very effective,Moderately effective,Very effective,Very effective,"Our consultant did a fine job fulfilling her project within the CONNECT program. While we would have gone farther if we had held some additional meetings, that was not a part of the CONNECT program and it also was not something that Westcave proposed to her.  We could also have scheduled some additional phone calls although I think meetings would have worked best. Again, Westcave could have also taken the initiative to set those up. ",Yes,Thank you for this opportunity. It was helpful for us to work on our evaluation plans. I would also like to add that Alyssa Studer did a great job of coordinating everything. 
Austin Tech Alliance,CONNECT,Far exceeds expectations,Extremely useful,Extremely satisfied,"Study will be published on austintech.org website, sent to members and similar partner organizations that do civic tech education and outreach. ","We learned so much! Alyssa was able to find so much data about civic engagement nationally, and the survey results are super helpful. ",About right,Becca and Alyssa were wonderful! It was convenient to meet at the LBJ center. The project manager tracker was helpful. ,Yes,,Extremely effective,Extremely effective,Extremely effective,Extremely effective,"Nothing, she was great",Yes,n/a
Camp Fire Central Texas,CONNECT,Exceeds expectations,Very useful,Very satisfied,"We will be using the survey tools for youth and staff observations throughout the Spring, and then re-evaluate and make any needed adjustments for use during Summer Camp. ","Having quality people as staff and volunteers makes all the difference! It's hard to find good people, but if someone is focused and professional, they can really add a lot to an organization, especially a small non-profit like Camp Fire. ",About right,"None - it was easy and efficient for us, which is necessary considering how precious our resources are. ",Yes,,Very effective,Very effective,Very effective,Very effective,None - we wish we could hire her as staff! ,Yes,Thank you for this wonderful opportunity! 
Shield Ranch Foundation,CONNECT,Far exceeds expectations,Extremely useful,Extremely satisfied,We have long term strategic metrics plan underway! This was our foundation for learning and expanding. Thank you!,A lot. A huge take away was how ask better questions to receive more impactful data from our surveys. ,About right,"Everything was great. It was a very pleasant discovery to learn this program exceeded our expectations. It would almost be easier to digest to see an example of an Evaluability Report form another organization to see the direction we were going. Then again, that could have been distracting to our focus/mission. Anything that assists in processing your excellent information from the beginning would be helpful. The end product is very helpful. ",Yes,,Very effective,Very effective,Very effective,Extremely effective,"She was excellent! There were moments where I felt like ""I don't know what I don't know"" so felt a little paralyzed to think of a question and feedback. I appreciated always being asked for feedback! ",Yes,"Laurie: I think the meetings were well organized with information that we would discuss being relayed beforehand. The Google folder was well organized and the information included all responded to our questions. The final materials provided are in a format that we can use going forward to edit to suit our needs as time passes.
Overall I thought the program did what it set out to do.

Christy: I thought Alyssa and Virginia were very professional to work with. Throughout this experience, they consistently left me feeling confident in the project. The deliverables exceeded my expectations. The timing was perfect and without a doubt, our evaluation and impact analysis system took a big leap forward thanks to Virginia."
Michael and Susan Dell Foundation,CONNECT,Exceeds expectations,Very useful,Very satisfied,"As discussed, we plan to follow up with CIS board members as well as TEA to elevate the need for better systems integration. To do this, we will be leveraging the work generated by the CONNECT project to highlight key pain points",Would have benefited from more frequent check-ins and I could have determined scope of the project in a more intentional manner,Slightly too much,,Yes,,Moderately effective,Moderately effective,Slightly effective,Slightly effective,"Check in more. Megha did a really good job of reaching out when she was stuck, or need clarity. Promptness of response would also help, especially with Biswajit",Yes,no
Communities In Schools,CONNECT,Equals expectations,Very useful,Very satisfied,The work completed by the graduate students was essential foundational work needed to bring attention to serious capacity concerns to large agency stakeholders.,The deliverables confirmed a lot of conventional agency knowledge in a concrete data-informed way. The work completed through UT Connect will support my organization in advocating for process improvements.,About right,The nature of the project our team took on was very exploratory - I am happy that the process we took could inform future iterations of similar projects.,Yes,,Very effective,Very effective,Very effective,Moderately effective,"I believe the students did great work with the limited direction they were given, they were flexible as we narrowed the scope of the project.",Yes,"Alyssa Struder's project management played such a vital role in the success of our project, she beautifully synthesized information and directives to each member of the team making the process smooth and efficient."
Austin Public Health,CONNECT,Equals expectations,Moderately useful,Very satisfied,Unsure,Nurses like to give the books!,About right,,Yes,,Very effective,Very effective,Very effective,Moderately effective,NA,Yes,.
Learn All the Time,CONNECT,Equals expectations,Moderately useful,Moderately satisfied,We will share the findings with our organizational partners and also use the information to guide the strategic planning for our five-year Quality for All Initiative.,"We learned which organizations are being funded by whom. We also realized the breadth of organizations doing similar work like us, and it allows us to connect our organizational partners in mutually beneficial ways. ",Slightly too little,"This program is truly one that you will get out what you put into it. I should have put a little more effort, in the beginning, to define my relationship with my intern more clearly. I think it would have produced more results in the long-run. ",Yes,,Moderately effective,Slightly effective,Moderately effective,Extremely effective,"More frequent communication could have been helpful, even if it was simply an email to say that you don't have updates. I also realize I could have been more diligent with the check-in process, so the advice is for both of us. ",No,"Just what I said - this program is fantastic, but you really get out what you put into it. "
